Document Title,Application Number,Document Type,Originating Body,Date,Conclusion
CASE OF JEZIOR v. POLAND - [Polish Translation] by the Polish Ministry of Justice,31955/11,HJUDPOL,Court (First Section Committee),04/06/2020,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression)
CASE OF BRZEZIŃSKI v. POLAND - [Polish Translation] by the Polish Ministry of Justice ,47542/07,HJUDPOL,Court (First Section Committee),25/07/2019,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression)
CASE OF SŁOMKA v. POLAND - [Polish Translation] by the Polish Ministry of Justice,68924/12,HJUDPOL,Court (First Section),06/12/2018,Violation of Article 6 - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Impartial tribunal);Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF E.S. v. AUSTRIA - [Polish Translation] legal summary by the Polish Ministry of Foreign Affairs,38450/12,HJUDPOL,Court (Fifth Section),25/10/2018,No violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression)
WANNER v. GERMANY – [Polish Translation] by the Polish Prosecutor General,26892/12,HDECPOL,Court (Fifth Section),23/10/2018,Inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;(Art. 35-3-a) Ratione materiae
CASE OF M.L. AND W.W. v. GERMANY - [Polish Translation] legal summary by the Polish Ministry of Foreign Affairs,60798/10;65599/10,HJUDPOL,Court (Fifth Section),28/06/2018,No violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life)
CASE OF ŞAHİN ALPAY v. TURKEY - [Polish Translation] legal summary by the Polish Ministry of Foreign Affairs ,16538/17,HJUDPOL,Court (Second Section),20/03/2018,Preliminary objection joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Exhaustion of domestic remedies;Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention;Procedure prescribed by law;Article 5-1-c - Reasonable suspicion);No violation of Article 5 - Right to liberty and security (Article 5-4 - Review of lawfulness of detention;Speediness of review);Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression);Respondent State to take individual measures (Article 46-2 - Individual measures);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF AYDOĞAN AND DARA RADYO TELEVIZYON YAYINCILIK ANONIM ŞIRKETI v. TURKEY - [Polish Translation] by the Polish Supreme Administrative Court,12261/06,HJUDPOL,Court (Second Section),13/02/2018,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression;Freedom to impart information);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction)
MESLOT v. FRANCE – [Polish Translation] by the Polish Ministry of Justice,50538/12,HDECPOL,Court (Fifth Section),09/01/2018,Inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded
CASE OF EGILL EINARSSON v. ICELAND – [Polish Translation] by the Polish Constitutional Tribunal,24703/15,HJUDPOL,Court (Second Section),07/11/2017,Violation of Article 8 - Right to respect for private and family life (Article 8 - Positive obligations;Article 8-1 - Respect for private life);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction)
CASE OF BECKER v. NORWAY - [Polish Translation] legal summary by the Polish Ministry of Foreign Affairs ,21272/12,HJUDPOL,Court (Fifth Section),05/10/2017,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression;Freedom to impart information);Pecuniary damage - award (Article 41 - Pecuniary damage;Just satisfaction)
CASE OF KĄCKI v. POLAND - [Polish Translation] by the Polish Ministry of Justice,10947/11,HJUDPOL,Court (Fourth Section),04/07/2017,Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression)
CASE OF SATAKUNNAN MARKKINAPÖRSSI OY AND SATAMEDIA OY v. FINLAND - [Polish Translation] by the Polish Supreme Administrative Court,931/13,HJUDPOL,Court (Grand Chamber),27/06/2017,Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Six-month period;(Art. 35-1) Final domestic decision;Preliminary objection dismissed (Art. 34) Individual applications;(Art. 34) Victim;No violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom to impart information);Violation of Article 6 - Right to a fair trial (Article 6 - Administrative proceedings;Article 6-1 - Reasonable time);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction)
CASE OF MEDŽLIS ISLAMSKE ZAJEDNICE BRČKO AND OTHERS v. BOSNIA AND HERZEGOVINA - [Polish Translation] legal summary by the Polish Ministry of Foreign Affairs,17224/11,HJUDPOL,Court (Grand Chamber),27/06/2017,No violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression)
CASE OF SATAKUNNAN MARKKINAPÖRSSI OY AND SATAMEDIA OY v. FINLAND - [Polish Translation] legal summary by the Polish Ministry of Foreign Affairs,931/13,HJUDPOL,Court (Grand Chamber),27/06/2017,Preliminary objection dismissed (Art. 35) Admissibility criteria;(Art. 35-1) Six-month period;(Art. 35-1) Final domestic decision;Preliminary objection dismissed (Art. 34) Individual applications;(Art. 34) Victim;No violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom to impart information);Violation of Article 6 - Right to a fair trial (Article 6 - Administrative proceedings;Article 6-1 - Reasonable time);Pecuniary damage - claim dismissed (Article 41 - Pecuniary damage;Just satisfaction)
MOOHAN AND GILLON v. THE UNITED KINGDOM - [Polish Translation] legal summary by the Polish Ministry of Foreign Affairs ,22962/15;23345/15,HDECPOL,Court (First Section),13/06/2017,Inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Ratione materiae
BOUDELAL v. FRANCE - [Polish Translation] by the Polish Supreme Administrative Court,14894/14,HDECPOL,Court (Fifth Section),13/06/2017,Inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Ratione materiae
CASE OF GIESBERT AND OTHERS v. FRANCE - [Polish Translation] by the Polish Ministry of Justice ,68974/11;2395/12;76324/13,HJUDPOL,Court (Fifth Section),01/06/2017,No violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression)
CASE OF KOŚĆ v. POLAND - [Polish Translation] by the Polish Ministry of Justice ,34598/12,HJUDPOL,Court (First Section),01/06/2017,Violation of Article 10 - Freedom of expression-{General} (Article 10-1 - Freedom of expression)
CASE OF SELMANI AND OTHERS v. "THE FORMER YUGOSLAV REPUBLIC OF MACEDONIA" - [Polish Translation] by the Polish Ministry of Justice ,67259/14,HJUDPOL,Court (First Section),09/02/2017,Preliminary objection joined to merits and dismissed (Art. 35) Admissibility criteria;(Art. 35-3-b) No significant disadvantage;Violation of Article 6 - Right to a fair trial (Article 6 - Constitutional proceedings;Article 6-1 - Public hearing);Violation of Article 10 - Freedom of expression-{general} (Article 10-1 - Freedom of expression;Freedom to impart information);Non-pecuniary damage - award (Article 41 - Just satisfaction)
PIHL v. SWEDEN – [Polish Translation] by the Polish Constitutional Tribunal,74742/14,HDECPOL,Court (Third Section),07/02/2017,Inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded
